ID;X;Y;TIME;DESIRE;ACTIVITY;COMMENTS
H1304;-14.43160939;16.48518435;09:00;WANDER;tache m‚nag‚re;cour
H1304;-14.43144108;16.48522871;10:00;FEED;petit d‚jeuner;salon
H1304;-14.43290854;16.48590839;11:00;WANDER;aller au march‚;march‚
H1304;-14.43151216;16.48514641;11:20;REST;Dormir;chambre
H1304;-14.43151216;16.48514641;11:50;STILL;regarder la t‚l‚;chambre
H1304;-14.43156312;16.485221;12:00;REST;Repos;cour
H1304;-14.43148266;16.48517213;14:00;FEED;d‚jeuner;Veranda
H1304;-14.43156312;16.485221;15:00;REST;Repos;cour
H1304;-14.43095111;16.48896239;16:00;STILL;aller … l'‚cole coranique;Gall‚ Baba
H1304;-14.43156312;16.485221;18:28;STILL;palabrer;cour
H1304;-14.43170796;16.48519785;19:30;WANDER;pr‚parer diner;cuisine
H1304;-14.43156312;16.485221;21:00;FEED;diner;cour
H1304;-14.43156312;16.485221;21:30;STILL;palabrer;cour
H13801;-14.42474227;16.48704193;07:00;WANDER;pri‚re+ prepa peti dej;cour
H13801;233;0;07:40;STILL;aller … l'‚cole;School
H13801;-14.42474227;16.48704193;14:30;FEED;d‚jeuner;cour
H13801;-14.42474227;16.48704193;15:00;REST;Dormir;cour
H13801;-14.42466582;16.48712552;17:00;WANDER;pr‚parer diner;cuisine (445)
H13801;-14.42474897;16.48707922;20:00;FEED;diner;maison
H13801;-14.42464034;16.48703807;21:00;STILL;reviser;chambre 445'
H13801;-14.42464034;16.48703807;22:00;REST;dormir;chambre
H13802;-14.42463632;16.48705736;00:00;REST;dormir;chambre 447'
H13802;-14.42463632;16.48705736;06:00;STILL;pri‚re+ wird;chambre
H13802;-14.4247369;16.48704707;07:00;FEED;petit dej;cour
H13802;-14.4247369;16.48704707;08:00;STILL;Palabrer;cour
H13802;233;186;09:00;STILL;aller au champ;Champ
H13802;-14.4247369;16.48704707;19:00;REST;repos;cour
H13802;-14.4247369;16.48704707;21:00;FEED;diner;cour
H13802;-14.4247369;16.48704707;22:00;STILL;palabrer;cour
H1501;-14.43217527;16.4854297;09:00;WANDER;tache m‚nag‚re;salle de bain+ v‚randa
H1501;-14.43207603;16.48551329;10:00;WANDER;aider aux taches m‚nag‚res;cour/cuisine
H1501;-14.43219539;16.48541298;12:00;STILL;r‚viser;chambre (351)
H1501;-14.43221685;16.48559173;14:00;FEED;d‚jeuner;Cour
H1501;-14.43221685;16.48559173;15:00;STILL;palabrer;cour
H1501;-14.43221685;16.48559173;17:00;REST;repos;cour (350)
H1501;-14.43221685;16.48559173;18:00;WANDER;pr‚parer diner;cour
H1501;-14.43221685;16.48559173;21:00;STILL;palabrer;cour
H1501;-14.43219539;16.48541298;23:00;REST;dormir;chambre
H15303;-14.42368486;16.48908098;06:00;WANDER;pr‚paratif petit dej;pr‚s cuisine
H15303;233;0;07:30;STILL;aller … l'‚cole;School
H15303;-14.42369644;16.48914212;14:30;FEED;D‚jeuner;salon (441)
H15303;-14.42369644;16.48914212;15:00;REST;pause;salon
H15303;-14.42373702;16.48916435;16:00;STILL;reviser;chambre
H15303;-14.42373702;16.48916435;18:30;STILL;reviser;chambre (443')
H15303;-14.42358632;16.48910319;20:30;FEED;diner;cour
H15303;-14.42369644;16.48914212;21:00;STILL;regarder la t‚l‚;salon
H15303;-14.42373702;16.48916435;22:00;REST;dormir;chambre
H2003;-14.42976649;16.48709289;07:00;WANDER;preparatif pour aller … l'‚cole;cour
H2003;233;0;07:40;STILL;aller … l'‚cole;School
H2003;-14.42976649;16.48709289;13:00;REST;repos;cour
