"";"CELL_WIDTH_Ucm";"INIT_POP_SIZE";"NUMBER_OF_BURROW_SYSTEM";"MAX_AGE_Uday";"AGENT_PERCEPTION_RADIUS_UmeterByDay";"AGENT_SPEED_UmeterByDay";"REPRO_START_Umonth";"REPRO_END_Umonth";"MALE_SEXUAL_MATURITY_Uday";"FEMALE_SEXUAL_MATURITY_Uday";"GESTATION_LENGTH_Uday";"MATING_LATENCY_Uday";"LITTER_SIZE";"WEANING_AGE_Uday";"FEMALE_BURROW_SYSTEM_CARRYING_CAPACITY_MULTIPLIER"
"1";0.2;0.6;0.4;0.6;0.6;0.4;0.2;1;0.2;1;0;0.4;1;0.6;0.6
"2";0.8;0.6;0.4;0.6;0.6;0.4;0.2;1;0.2;1;0;0.4;1;0.6;0.6
"3";0.8;0;0.4;0.6;0.6;0.4;0.2;1;0.2;1;0;0.4;1;0.6;0.6
"4";0.8;0;1;0.6;0.6;0.4;0.2;1;0.2;1;0;0.4;1;0.6;0.6
"5";0.8;0;1;0;0.6;0.4;0.2;1;0.2;1;0;0.4;1;0.6;0.6
"6";0.8;0;1;0;0;0.4;0.2;1;0.2;1;0;0.4;1;0.6;0.6
"7";0.8;0;1;0;0;1;0.2;1;0.2;1;0;0.4;1;0.6;0.6
"8";0.8;0;1;0;0;1;0.8;1;0.2;1;0;0.4;1;0.6;0.6
"9";0.8;0;1;0;0;1;0.8;0.4;0.2;1;0;0.4;1;0.6;0.6
"10";0.8;0;1;0;0;1;0.8;0.4;0.8;1;0;0.4;1;0.6;0.6
"11";0.8;0;1;0;0;1;0.8;0.4;0.8;0.4;0;0.4;1;0.6;0.6
"12";0.8;0;1;0;0;1;0.8;0.4;0.8;0.4;0.6;0.4;1;0.6;0.6
"13";0.8;0;1;0;0;1;0.8;0.4;0.8;0.4;0.6;1;1;0.6;0.6
"14";0.8;0;1;0;0;1;0.8;0.4;0.8;0.4;0.6;1;0.4;0.6;0.6
"15";0.8;0;1;0;0;1;0.8;0.4;0.8;0.4;0.6;1;0.4;0;0.6
"16";0.8;0;1;0;0;1;0.8;0.4;0.8;0.4;0.6;1;0.4;0;0
"17";0.6;0.6;0;1;0.8;0.8;0.8;0.6;0.2;0.6;1;0.8;0;0.8;0
"18";0;0.6;0;1;0.8;0.8;0.8;0.6;0.2;0.6;1;0.8;0;0.8;0
"19";0;0;0;1;0.8;0.8;0.8;0.6;0.2;0.6;1;0.8;0;0.8;0
"20";0;0;0.6;1;0.8;0.8;0.8;0.6;0.2;0.6;1;0.8;0;0.8;0
"21";0;0;0.6;0.4;0.8;0.8;0.8;0.6;0.2;0.6;1;0.8;0;0.8;0
"22";0;0;0.6;0.4;0.2;0.8;0.8;0.6;0.2;0.6;1;0.8;0;0.8;0
